01/22 11:16:30 PM | multilayer_inter2_capsnet_cifar10_model best accuracy=78.550 saved at: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter2_capsnet_cifar10_model_Epoch11_of_30.pt
01/23 12:01:01 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(0/1563), Loss=0.1836, Top 1 Acc=78.12, Top 5 Acc=100.00
01/23 12:01:17 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(32/1563), Loss=0.1636, Top 1 Acc=79.92, Top 5 Acc=98.20
01/23 12:01:32 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(64/1563), Loss=0.1623, Top 1 Acc=78.99, Top 5 Acc=98.32
01/23 12:01:48 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(96/1563), Loss=0.1604, Top 1 Acc=79.32, Top 5 Acc=98.52
01/23 12:02:04 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(128/1563), Loss=0.1568, Top 1 Acc=80.04, Top 5 Acc=98.62
01/23 12:02:20 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(160/1563), Loss=0.1562, Top 1 Acc=80.16, Top 5 Acc=98.64
01/23 12:02:36 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(192/1563), Loss=0.1546, Top 1 Acc=80.36, Top 5 Acc=98.74
01/23 12:02:52 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(224/1563), Loss=0.1536, Top 1 Acc=80.67, Top 5 Acc=98.69
01/23 12:03:08 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(256/1563), Loss=0.1544, Top 1 Acc=80.48, Top 5 Acc=98.75
01/23 12:03:23 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(288/1563), Loss=0.1545, Top 1 Acc=80.54, Top 5 Acc=98.75
01/23 12:03:39 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(320/1563), Loss=0.1550, Top 1 Acc=80.44, Top 5 Acc=98.71
01/23 12:03:55 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(352/1563), Loss=0.1555, Top 1 Acc=80.36, Top 5 Acc=98.72
01/23 12:04:11 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(384/1563), Loss=0.1552, Top 1 Acc=80.49, Top 5 Acc=98.76
01/23 12:04:27 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(416/1563), Loss=0.1550, Top 1 Acc=80.49, Top 5 Acc=98.76
01/23 12:04:43 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(448/1563), Loss=0.1547, Top 1 Acc=80.51, Top 5 Acc=98.80
01/23 12:04:58 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(480/1563), Loss=0.1550, Top 1 Acc=80.49, Top 5 Acc=98.75
01/23 12:05:14 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(512/1563), Loss=0.1548, Top 1 Acc=80.53, Top 5 Acc=98.76
01/23 12:05:30 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(544/1563), Loss=0.1557, Top 1 Acc=80.42, Top 5 Acc=98.70
01/23 12:05:46 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(576/1563), Loss=0.1562, Top 1 Acc=80.35, Top 5 Acc=98.69
01/23 12:06:02 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(608/1563), Loss=0.1558, Top 1 Acc=80.41, Top 5 Acc=98.69
01/23 12:06:18 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(640/1563), Loss=0.1554, Top 1 Acc=80.47, Top 5 Acc=98.67
01/23 12:06:33 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(672/1563), Loss=0.1557, Top 1 Acc=80.35, Top 5 Acc=98.65
01/23 12:06:49 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(704/1563), Loss=0.1555, Top 1 Acc=80.40, Top 5 Acc=98.66
01/23 12:07:05 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(736/1563), Loss=0.1555, Top 1 Acc=80.35, Top 5 Acc=98.64
01/23 12:07:21 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(768/1563), Loss=0.1555, Top 1 Acc=80.34, Top 5 Acc=98.63
01/23 12:07:37 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(800/1563), Loss=0.1548, Top 1 Acc=80.47, Top 5 Acc=98.64
01/23 12:07:53 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(832/1563), Loss=0.1543, Top 1 Acc=80.52, Top 5 Acc=98.65
01/23 12:08:08 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(864/1563), Loss=0.1547, Top 1 Acc=80.43, Top 5 Acc=98.66
01/23 12:08:24 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(896/1563), Loss=0.1548, Top 1 Acc=80.40, Top 5 Acc=98.66
01/23 12:08:40 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(928/1563), Loss=0.1553, Top 1 Acc=80.31, Top 5 Acc=98.65
01/23 12:08:56 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(960/1563), Loss=0.1553, Top 1 Acc=80.32, Top 5 Acc=98.66
01/23 12:09:12 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(992/1563), Loss=0.1550, Top 1 Acc=80.37, Top 5 Acc=98.66
01/23 12:09:27 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1024/1563), Loss=0.1553, Top 1 Acc=80.30, Top 5 Acc=98.65
01/23 12:09:43 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1056/1563), Loss=0.1553, Top 1 Acc=80.31, Top 5 Acc=98.65
01/23 12:09:59 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1088/1563), Loss=0.1555, Top 1 Acc=80.26, Top 5 Acc=98.64
01/23 12:10:15 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1120/1563), Loss=0.1556, Top 1 Acc=80.26, Top 5 Acc=98.62
01/23 12:10:31 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1152/1563), Loss=0.1558, Top 1 Acc=80.23, Top 5 Acc=98.62
01/23 12:10:46 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1184/1563), Loss=0.1559, Top 1 Acc=80.20, Top 5 Acc=98.62
01/23 12:11:02 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1216/1563), Loss=0.1558, Top 1 Acc=80.22, Top 5 Acc=98.61
01/23 12:11:18 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1248/1563), Loss=0.1561, Top 1 Acc=80.18, Top 5 Acc=98.60
01/23 12:11:34 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1280/1563), Loss=0.1559, Top 1 Acc=80.20, Top 5 Acc=98.61
01/23 12:11:50 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1312/1563), Loss=0.1558, Top 1 Acc=80.22, Top 5 Acc=98.62
01/23 12:12:05 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1344/1563), Loss=0.1558, Top 1 Acc=80.20, Top 5 Acc=98.61
01/23 12:12:21 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1376/1563), Loss=0.1560, Top 1 Acc=80.18, Top 5 Acc=98.62
01/23 12:12:37 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1408/1563), Loss=0.1559, Top 1 Acc=80.19, Top 5 Acc=98.62
01/23 12:12:53 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1440/1563), Loss=0.1561, Top 1 Acc=80.17, Top 5 Acc=98.61
01/23 12:13:09 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1472/1563), Loss=0.1559, Top 1 Acc=80.18, Top 5 Acc=98.62
01/23 12:13:24 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1504/1563), Loss=0.1560, Top 1 Acc=80.14, Top 5 Acc=98.62
01/23 12:13:40 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=4, Iteration=(1536/1563), Loss=0.1560, Top 1 Acc=80.15, Top 5 Acc=98.62
01/23 12:14:32 AM | multilayer_inter3_capsnet_cifar10_model Validation - Loss=0.1849, Top 1 Acc=75.140, Top 5 Acc=98.160
01/23 12:14:32 AM | Epoch 4 complete. Saved Checkpoint: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter3_capsnet_cifar10_model_Epoch4_of_15.pt
01/23 12:14:33 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(0/1563), Loss=0.0947, Top 1 Acc=87.50, Top 5 Acc=100.00
01/23 12:14:49 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(32/1563), Loss=0.1312, Top 1 Acc=83.62, Top 5 Acc=98.86
01/23 12:15:05 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(64/1563), Loss=0.1260, Top 1 Acc=85.14, Top 5 Acc=99.13
01/23 12:15:21 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(96/1563), Loss=0.1259, Top 1 Acc=84.79, Top 5 Acc=99.10
01/23 12:15:36 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(128/1563), Loss=0.1250, Top 1 Acc=85.20, Top 5 Acc=99.08
01/23 12:15:52 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(160/1563), Loss=0.1238, Top 1 Acc=85.46, Top 5 Acc=99.13
01/23 12:16:08 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(192/1563), Loss=0.1238, Top 1 Acc=85.54, Top 5 Acc=99.21
01/23 12:16:24 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(224/1563), Loss=0.1234, Top 1 Acc=85.72, Top 5 Acc=99.18
01/23 12:16:40 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(256/1563), Loss=0.1226, Top 1 Acc=85.72, Top 5 Acc=99.16
01/23 12:16:55 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(288/1563), Loss=0.1243, Top 1 Acc=85.39, Top 5 Acc=99.20
01/23 12:17:11 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(320/1563), Loss=0.1239, Top 1 Acc=85.38, Top 5 Acc=99.21
01/23 12:17:27 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(352/1563), Loss=0.1240, Top 1 Acc=85.31, Top 5 Acc=99.22
01/23 12:17:43 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(384/1563), Loss=0.1238, Top 1 Acc=85.25, Top 5 Acc=99.21
01/23 12:17:59 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(416/1563), Loss=0.1244, Top 1 Acc=85.18, Top 5 Acc=99.15
01/23 12:18:14 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(448/1563), Loss=0.1244, Top 1 Acc=85.24, Top 5 Acc=99.18
01/23 12:18:30 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(480/1563), Loss=0.1238, Top 1 Acc=85.33, Top 5 Acc=99.19
01/23 12:18:46 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(512/1563), Loss=0.1233, Top 1 Acc=85.43, Top 5 Acc=99.22
01/23 12:19:02 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(544/1563), Loss=0.1234, Top 1 Acc=85.44, Top 5 Acc=99.23
01/23 12:19:18 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(576/1563), Loss=0.1239, Top 1 Acc=85.34, Top 5 Acc=99.20
01/23 12:19:33 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(608/1563), Loss=0.1241, Top 1 Acc=85.34, Top 5 Acc=99.21
01/23 12:19:49 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(640/1563), Loss=0.1242, Top 1 Acc=85.36, Top 5 Acc=99.19
01/23 12:20:05 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(672/1563), Loss=0.1248, Top 1 Acc=85.21, Top 5 Acc=99.20
01/23 12:20:21 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(704/1563), Loss=0.1250, Top 1 Acc=85.16, Top 5 Acc=99.20
01/23 12:20:37 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(736/1563), Loss=0.1250, Top 1 Acc=85.14, Top 5 Acc=99.20
01/23 12:20:52 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(768/1563), Loss=0.1252, Top 1 Acc=85.10, Top 5 Acc=99.19
01/23 12:21:08 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(800/1563), Loss=0.1254, Top 1 Acc=85.11, Top 5 Acc=99.18
01/23 12:21:24 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(832/1563), Loss=0.1255, Top 1 Acc=85.07, Top 5 Acc=99.19
01/23 12:21:40 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(864/1563), Loss=0.1254, Top 1 Acc=85.09, Top 5 Acc=99.17
01/23 12:21:56 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(896/1563), Loss=0.1256, Top 1 Acc=85.06, Top 5 Acc=99.17
01/23 12:22:11 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(928/1563), Loss=0.1259, Top 1 Acc=85.01, Top 5 Acc=99.16
01/23 12:22:27 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(960/1563), Loss=0.1261, Top 1 Acc=85.01, Top 5 Acc=99.14
01/23 12:22:43 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(992/1563), Loss=0.1262, Top 1 Acc=85.01, Top 5 Acc=99.13
01/23 12:22:59 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1024/1563), Loss=0.1265, Top 1 Acc=84.99, Top 5 Acc=99.13
01/23 12:23:15 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1056/1563), Loss=0.1269, Top 1 Acc=84.91, Top 5 Acc=99.12
01/23 12:23:30 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1088/1563), Loss=0.1270, Top 1 Acc=84.89, Top 5 Acc=99.11
01/23 12:23:46 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1120/1563), Loss=0.1272, Top 1 Acc=84.86, Top 5 Acc=99.11
01/23 12:24:02 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1152/1563), Loss=0.1269, Top 1 Acc=84.92, Top 5 Acc=99.13
01/23 12:24:18 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1184/1563), Loss=0.1271, Top 1 Acc=84.87, Top 5 Acc=99.12
01/23 12:24:34 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1216/1563), Loss=0.1270, Top 1 Acc=84.90, Top 5 Acc=99.12
01/23 12:24:50 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1248/1563), Loss=0.1270, Top 1 Acc=84.92, Top 5 Acc=99.12
01/23 12:25:05 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1280/1563), Loss=0.1272, Top 1 Acc=84.88, Top 5 Acc=99.11
01/23 12:25:21 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1312/1563), Loss=0.1272, Top 1 Acc=84.87, Top 5 Acc=99.11
01/23 12:25:37 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1344/1563), Loss=0.1273, Top 1 Acc=84.86, Top 5 Acc=99.11
01/23 12:25:53 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1376/1563), Loss=0.1273, Top 1 Acc=84.87, Top 5 Acc=99.09
01/23 12:26:09 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1408/1563), Loss=0.1274, Top 1 Acc=84.84, Top 5 Acc=99.10
01/23 12:26:24 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1440/1563), Loss=0.1274, Top 1 Acc=84.82, Top 5 Acc=99.09
01/23 12:26:40 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1472/1563), Loss=0.1277, Top 1 Acc=84.78, Top 5 Acc=99.09
01/23 12:26:56 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1504/1563), Loss=0.1276, Top 1 Acc=84.80, Top 5 Acc=99.09
01/23 12:27:12 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=5, Iteration=(1536/1563), Loss=0.1274, Top 1 Acc=84.84, Top 5 Acc=99.10
01/23 12:28:04 AM | multilayer_inter3_capsnet_cifar10_model Validation - Loss=0.1788, Top 1 Acc=76.280, Top 5 Acc=98.080
01/23 12:28:04 AM | Epoch 5 complete. Saved Checkpoint: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter3_capsnet_cifar10_model_Epoch5_of_15.pt
01/23 12:28:04 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(0/1563), Loss=0.1296, Top 1 Acc=78.12, Top 5 Acc=100.00
01/23 12:28:20 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(32/1563), Loss=0.1008, Top 1 Acc=89.87, Top 5 Acc=99.15
01/23 12:28:36 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(64/1563), Loss=0.0980, Top 1 Acc=89.86, Top 5 Acc=99.33
01/23 12:28:52 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(96/1563), Loss=0.0965, Top 1 Acc=90.01, Top 5 Acc=99.32
01/23 12:29:07 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(128/1563), Loss=0.0949, Top 1 Acc=90.29, Top 5 Acc=99.30
01/23 12:29:23 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(160/1563), Loss=0.0940, Top 1 Acc=90.35, Top 5 Acc=99.32
01/23 12:29:39 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(192/1563), Loss=0.0957, Top 1 Acc=90.22, Top 5 Acc=99.27
01/23 12:29:55 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(224/1563), Loss=0.0955, Top 1 Acc=90.22, Top 5 Acc=99.31
01/23 12:30:11 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(256/1563), Loss=0.0964, Top 1 Acc=90.16, Top 5 Acc=99.32
01/23 12:30:27 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(288/1563), Loss=0.0964, Top 1 Acc=90.27, Top 5 Acc=99.33
01/23 12:30:42 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(320/1563), Loss=0.0966, Top 1 Acc=90.09, Top 5 Acc=99.36
01/23 12:30:58 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(352/1563), Loss=0.0962, Top 1 Acc=90.10, Top 5 Acc=99.34
01/23 12:31:14 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(384/1563), Loss=0.0965, Top 1 Acc=89.97, Top 5 Acc=99.36
01/23 12:31:30 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(416/1563), Loss=0.0962, Top 1 Acc=89.95, Top 5 Acc=99.38
01/23 12:31:45 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(448/1563), Loss=0.0961, Top 1 Acc=89.98, Top 5 Acc=99.39
01/23 12:32:01 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(480/1563), Loss=0.0962, Top 1 Acc=89.98, Top 5 Acc=99.38
01/23 12:32:17 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(512/1563), Loss=0.0958, Top 1 Acc=89.94, Top 5 Acc=99.37
01/23 12:32:33 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(544/1563), Loss=0.0959, Top 1 Acc=89.93, Top 5 Acc=99.39
01/23 12:32:49 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(576/1563), Loss=0.0964, Top 1 Acc=89.80, Top 5 Acc=99.38
01/23 12:33:05 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(608/1563), Loss=0.0966, Top 1 Acc=89.76, Top 5 Acc=99.38
01/23 12:33:20 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(640/1563), Loss=0.0970, Top 1 Acc=89.73, Top 5 Acc=99.37
01/23 12:33:36 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(672/1563), Loss=0.0975, Top 1 Acc=89.63, Top 5 Acc=99.37
01/23 12:33:52 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(704/1563), Loss=0.0978, Top 1 Acc=89.57, Top 5 Acc=99.37
01/23 12:34:08 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(736/1563), Loss=0.0984, Top 1 Acc=89.45, Top 5 Acc=99.34
01/23 12:34:23 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(768/1563), Loss=0.0986, Top 1 Acc=89.36, Top 5 Acc=99.34
01/23 12:34:39 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(800/1563), Loss=0.0988, Top 1 Acc=89.31, Top 5 Acc=99.34
01/23 12:34:55 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(832/1563), Loss=0.0988, Top 1 Acc=89.30, Top 5 Acc=99.35
01/23 12:35:11 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(864/1563), Loss=0.0993, Top 1 Acc=89.22, Top 5 Acc=99.35
01/23 12:35:26 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(896/1563), Loss=0.0996, Top 1 Acc=89.18, Top 5 Acc=99.35
01/23 12:35:42 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(928/1563), Loss=0.0995, Top 1 Acc=89.19, Top 5 Acc=99.36
01/23 12:35:58 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(960/1563), Loss=0.0996, Top 1 Acc=89.17, Top 5 Acc=99.35
01/23 12:36:14 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(992/1563), Loss=0.0996, Top 1 Acc=89.18, Top 5 Acc=99.36
01/23 12:36:30 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1024/1563), Loss=0.0997, Top 1 Acc=89.15, Top 5 Acc=99.37
01/23 12:36:46 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1056/1563), Loss=0.0997, Top 1 Acc=89.16, Top 5 Acc=99.36
01/23 12:37:01 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1088/1563), Loss=0.0994, Top 1 Acc=89.16, Top 5 Acc=99.37
01/23 12:37:17 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1120/1563), Loss=0.0995, Top 1 Acc=89.13, Top 5 Acc=99.36
01/23 12:37:33 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1152/1563), Loss=0.0997, Top 1 Acc=89.10, Top 5 Acc=99.35
01/23 12:37:49 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1184/1563), Loss=0.0997, Top 1 Acc=89.07, Top 5 Acc=99.35
01/23 12:38:04 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1216/1563), Loss=0.0998, Top 1 Acc=89.05, Top 5 Acc=99.34
01/23 12:38:20 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1248/1563), Loss=0.0996, Top 1 Acc=89.09, Top 5 Acc=99.34
01/23 12:38:36 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1280/1563), Loss=0.0995, Top 1 Acc=89.10, Top 5 Acc=99.35
01/23 12:38:52 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1312/1563), Loss=0.0996, Top 1 Acc=89.07, Top 5 Acc=99.35
01/23 12:39:08 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1344/1563), Loss=0.0998, Top 1 Acc=89.05, Top 5 Acc=99.35
01/23 12:39:23 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1376/1563), Loss=0.0998, Top 1 Acc=89.06, Top 5 Acc=99.36
01/23 12:39:39 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1408/1563), Loss=0.0999, Top 1 Acc=89.02, Top 5 Acc=99.36
01/23 12:39:55 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1440/1563), Loss=0.0999, Top 1 Acc=89.00, Top 5 Acc=99.36
01/23 12:40:11 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1472/1563), Loss=0.1000, Top 1 Acc=88.99, Top 5 Acc=99.35
01/23 12:40:26 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1504/1563), Loss=0.1002, Top 1 Acc=88.95, Top 5 Acc=99.34
01/23 12:40:42 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=6, Iteration=(1536/1563), Loss=0.1002, Top 1 Acc=88.95, Top 5 Acc=99.35
01/23 12:41:34 AM | multilayer_inter3_capsnet_cifar10_model Validation - Loss=0.1837, Top 1 Acc=76.160, Top 5 Acc=98.120
01/23 12:41:34 AM | Epoch 6 complete. Saved Checkpoint: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter3_capsnet_cifar10_model_Epoch6_of_15.pt
01/23 12:41:35 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=7, Iteration=(0/1563), Loss=0.0737, Top 1 Acc=90.62, Top 5 Acc=100.00
